Date de la mesure,Province,Nature de la mesure,Description de la mesure,Pour en savoir plus
21-Jul-20,NUNAVIK,Sanitaire ,Gestion des dépouilles et mesures de prévention et de protection pour les professionnels de la santé du Nunavik ,"<a href=\""https://nrbhss.ca/sites/default/files/covid19/COVID_Nunavik_Tending_to_bodies_Measures_Health_prof_in_HC_and_CLSC_FR_2020-07-21.pdf \"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
23-Jul-20,NUNAVIK,Sanitaire (reprise des activités),Mesures de prévention pour la reprise ou la poursuite des activités des organismes communautaires ,"<a href=\""http://nrbhss.ca/sites/default/files/covid19/Guidelines_Community_Organizations_FR.pdf \"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
24-Jul-20,NUNAVIK,Économique (chasse),"Activités de chasse, pêche et cueillette - directives supplémentaires ","<a href=\""http://nrbhss.ca/sites/default/files/covid19/Guidelines_Harvesting_Trips_FR.pdf \"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
29-Jul-20,NUNAVIK,Économique et sanitaire ,Recommandations de la santé publique pour le retour au travail dans les mines. ,"<a href=\""http://nrbhss.ca/sites/default/files/covid19/Recommendations_Mine_Workers_EN_2020-07-29.pdf\"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
03-Aug-20,NUNAVIK,Sanitaire (réouverture),Recommandations préventives pour la réouverture des épiceries.,"<a href=\""http://nrbhss.ca/sites/default/files/covid19/Recommendations_for_grocery_strores_EN_08-03-2020.pdf\"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
20-Aug-20,NUNAVIK,Économique (exploitation minière),Mesures concernant l'exploration minière et les études de terrain au Nunavik.,"<a href=\""http://nrbhss.ca/sites/default/files/covid19/Mineral_Exploration_and_field_studies_%20project_guidelines_Checklist_FR_2020-09-10.pdf\"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
24-Aug-20,NUNAVIK,Déconfinement ,Reprise des opérations des systèmes réguliers de réservation et d’enregistrement de vol.,"<a href=\""https://nrbhss.ca/sites/default/files/Flights_Entering_Nunavik_FR.pdf \"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
01-Sep-20,NUNAVIK,Économique ,Retour au travail progressif des résidents du Nunavik travaillant à la mine Raglan.,"<a href=\""https://www.krg.ca/fr-CA/publications/press-releases \"">Administration régionale Kativik</a>"
01-Oct-20,NUNAVIK,Sanitaire / tourisme,Recommandations pour les Visiteurs en provenance de l’extérieur du Nunavik. ,"<a href=\""http://nrbhss.ca/sites/default/files/covid19/Guidelines_Activities_in_Nunavik_Parks_FR_2020-10-01.pdf \"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
01-Oct-20,NUNAVIK,Sanitaire / tourisme,Recommandations concernant les activités d’écotourisme et de pourvoirie au Nunavik (incluant excursions guidées d’une journée) ,"<a href=\""http://nrbhss.ca/sites/default/files/covid19/Guidelines_Tourism_Outfitting_FR-2020-10-01.pdf \"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
13-Oct-20,NUNAVIK,Sanitaire (rassemblement),"Directives préliminaires de santé publique pour les réunions intercommunautaires, les sessions de formation et autres rassemblements.","<a href=\""http://nrbhss.ca/sites/default/files/covid19/Preliminary_AGM_Guidelines_EN.pdf \"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
20-Oct-20,NUNAVIK,Éducative (réouverture),Décisions et recommandations pour la réouverture sécuritaire des garderies au Nunavik ,"<a href=\""http://nrbhss.ca/sites/default/files/covid19/Public_health_recommendations_for_daycare_services_10-20-2020_FR.pdf\"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
09-Nov-20,NUNAVIK,2e vague,Surveillance de près de la situation de la COVID-19 par rapport à la deuxième vague dans le sud du Québec.,"<a href=\""https://ici.radio-canada.ca/espaces-autochtones/1747563/nunavik-pandemie-inuit-sante-quarantaine-vague \"">ICI RADIO CANADA</a>"
11-Nov-20,NUNAVIK,Mesure transversale,Mesure concernant l'amélioration de l'accès à internet de façon fiable.,"<a href=\""https://docs.google.com/viewerng/viewer?url=https://krg.ca/en-CA/assets/press-releases/2020/November/Broadband-Access-PressRelease-fr.pdf \"">Administration régionale Kativik</a>"
27-Nov-20,NUNAVIK,Sanitaire,Recommendations pour la réouverture des églises en prévention de la COVID-19 ,"<a href=\""http://nrbhss.ca/sites/default/files/covid19/Recommendations_for_Nunavik_churches_EN_2020-11-27.pdf \"">Régie régionale de la santé et des services sociaux du Nunavik</a>"
13-Mar-20,NUNAVUT,Sanitaire ,"Évitement des voyages internationaux et réduction des voyages non essentiels au Canada. Les voyages à l’intérieur du territoire ne sont pas restreints pour le moment. Annulation des évènements publics. Évitement des grands rassemblements et limitation des visites.
","<a href=\""https://www.gov.nu.ca/fr/sante/news/reponse-du-gouvernement-du-nunavut-la-covid-19 \""> Gouvernement du Nunavut</a>"
16-Mar-20,NUNAVUT,Éducative ,Fermeture temporaire de toutes les écoles et garderies du Nunavut.,"<a href=\""https://www.gov.nu.ca/fr/sante/news/fermeture-temporaire-de-toutes-les-ecoles-et-garderies-du-nunavut-comme-mesure-preventive\""> Gouvernement du Nunavut</a>"
18-Mar-20,NUNAVUT,Sanitaire (état d’urgence),Déclaration de l’état d’urgence sanitaire et adoption de mesures restrictives.,"<a href=\""https://www.gov.nu.ca/fr/sante/news/le-ministre-de-la-sante-declare-letat-durgence-sanitaire\""> Gouvernement du Nunavut</a>"
19-Mar-20,NUNAVUT,Économique,"Mise à jour du ministère du Développement économique et des Transports sur la fermeture, l'annulation et la suspension de certains services. ","<a href=\""https://www.gov.nu.ca/fr/developpement-economique-et-des-transports/news/covid-19-mise-jour-du-ministere-du-developpement\""> Gouvernement du Nunavut</a>"
20-Mar-20,NUNAVUT,Économique ,Mise à jour du ministère du Développement économique et des Transports sur la modification de certains services.,"<a href=\""https://www.gov.nu.ca/fr/developpement-economique-et-des-transports/news/covid-19-mise-jour-du-ministere-du-developpement\""> Gouvernement du Nunavut</a>"
